"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"新手引导-大数据","新手引导-大数据-导出","","1","0","0","0","0"
"业务模式配置 -> Api已关联","业务模式配置-导出文件数据","","0","0","1","0","0"
"小游戏事件上报统计-大数据","小游戏事件上报统计-导出","","0","0","1","0","0"
"修图分类管理 -> Api已关联","修图分类管理-查询","","0","0","1","0","0"
"修图分类管理 -> Api已关联","修图分类管理-增加","","0","0","1","0","0"
"应用内真实留存","应用内真实留存-查询","","0","0","1","0","0"
"微信分享内容配置 -> Api已关联","微信分享内容配置-查询","","0","0","1","0","0"
"微信分享内容配置 -> Api已关联","微信分享内容配置-增加","","0","0","1","0","0"
"业务模式配置 -> Api已关联","业务模式配置-获取业务配置列表-此接口只要状态为打开的数据","","0","0","1","0","0"
"订阅模板参数配置","订阅模板参数配置-增加","","1","0","0","0","0"
"小游戏事件上报统计-大数据","小游戏事件上报统计-查询","","0","0","1","0","0"
"修图分类管理 -> Api已关联","修图分类管理-修改","","0","0","1","0","0"
"业务模式配置 -> Api已关联","业务模式配置-修改","","0","0","1","0","0"
"修图分类管理 -> Api已关联","修图分类管理-删除","","0","0","1","0","0"
"业务模式配置 -> Api已关联","业务模式配置-删除","","0","0","1","0","0"
"微信分享内容配置 -> Api已关联","微信分享内容配置-修改","","0","0","1","0","0"
"微信分享内容配置 -> Api已关联","微信分享内容配置-删除","","0","0","1","0","0"
"小游戏事件上报统计-大数据","小游戏事件上报统计-获取事件ID","","0","0","1","0","0"
"应用内真实留存","应用内真实留存-导出","","0","0","1","0","0"
"业务模式配置 -> Api已关联","业务模式配置-查询","","0","0","1","0","0"
"新-V2锁屏配置","新-V2锁屏配置-增加","","1","0","0","0","0"
"单机兑换码V1","单机兑换码V1-使用测试","","1","0","0","0","0"
"单机兑换码V1","单机兑换码V1-生成单个","","0","0","1","0","0"
"单机兑换码V1","单机兑换码V1-批量生成","","0","0","1","0","0"
"新手引导-大数据","新手引导-大数据-查询","","0","0","1","0","0"
"礼包补发","礼包补发-获取邮件接口","","0","0","1","0","0"
"小游戏内购支付配置","小游戏内购支付配置-操作","","1","0","0","0","0"
"新手引导-大数据","新手引导-大数据-新手引导柱形图表","","0","0","1","0","0"
"业务模式配置 -> Api已关联","业务模式配置-增加","","0","0","1","0","0"
"小游戏内购支付配置","小游戏内购支付配置-查询","","0","0","1","0","0"
"黑名单管理","黑名单管理-查询是否被封禁","","0","0","1","0","0"
"订阅模板参数配置","订阅模板参数配置-查询","","0","0","1","0","0"
"外广转化漏斗","外广转化漏斗-导出","","0","0","1","0","0"
"外广转化漏斗","外广转化漏斗-查询","","0","0","1","0","0"
"微信分享内容配置 -> Api已关联","微信分享内容配置-导出","","0","0","1","0","0"
"单机兑换码V1","单机兑换码V1-查询","","0","0","1","0","0"
